video_id,title,url,views,duration,publishedAt
7iUoAaHLyP4,BOK CHOY 101! [👇🏼RECIPE],https://www.youtube.com/watch?v=7iUoAaHLyP4,387742,PT1M8S,2024-12-01T20:00:04Z
AFdvy1RukIU,Easy Evening Snacks Recipe | Easy Snacks to Make at Home | Tea Time Snacks Recipe | #shorts #short,https://www.youtube.com/watch?v=AFdvy1RukIU,5652246,PT47S,2021-09-29T06:30:00Z
VRylweOONHc,Michelin starred Carbonara recipe ⭐️,https://www.youtube.com/watch?v=VRylweOONHc,2284092,PT47S,2024-12-07T13:00:40Z
Pp5QSX_YTgg,Sushi! #shorts #fyp #viral #cooking  #food #chef #recipe #sushi #trending,https://www.youtube.com/watch?v=Pp5QSX_YTgg,2708377,PT1M,2023-07-19T23:07:49Z
5CGILLjn5_g,Nigerian Fried Rice Recipe,https://www.youtube.com/watch?v=5CGILLjn5_g,323787,PT53S,2024-12-20T17:00:08Z
EagzV8Pmq8s,Cook cake with sauce recipe #cooking #shorts #recipe,https://www.youtube.com/watch?v=EagzV8Pmq8s,5870483,PT1M,2025-10-24T13:00:15Z
fhEHwxWOtiI,The best pressure cooker meat recipe I've ever had!,https://www.youtube.com/watch?v=fhEHwxWOtiI,913428,PT1M,2023-08-22T01:30:17Z
shsRcmb2vHM,THE BEST Mojito! And THIS is Why!,https://www.youtube.com/watch?v=shsRcmb2vHM,746505,PT59S,2022-09-06T13:00:37Z
Glq-ZPKizU0,This Without This | Cheesecake without cheese | Find the full recipe on the Cookd app 🤩✨,https://www.youtube.com/watch?v=Glq-ZPKizU0,10807196,PT51S,2025-06-15T12:40:41Z
3iMBt5_X8bs,Only 3 Ingredients Easy to Make Simple and Delicious Recipe Chocolate Milk Pudding #Shorts #Pudding,https://www.youtube.com/watch?v=3iMBt5_X8bs,57697346,PT1M,2023-10-20T12:22:02Z
U06rjzov0s0,30-min Oven Baked Chicken Thighs Recipe,https://www.youtube.com/watch?v=U06rjzov0s0,2062790,PT31S,2022-04-26T19:33:55Z
